D:\python3.10\python.exe D:\AutoTestProjects\Matter_Network\matter_google_deng.py
2024-06-26 12:28:54.304 | INFO     | __main__:make:96 - 点击下一步
2024-06-26 12:28:55.695 | INFO     | __main__:make:100 - 点击同意
2024-06-26 12:29:15.364 | INFO     | __main__:make:109 - 点击仍然设置
2024-06-26 12:29:40.756 | INFO     | __main__:make:122 - 联网耗时: 25.39s
2024-06-26 12:29:40.780 | INFO     | __main__:make:125 - 连接成功
2024-06-26 12:29:41.056 | INFO     | __main__:make:127 - 点击完成
2024-06-26 12:29:43.189 | INFO     | __main__:make:130 - 选择房间
2024-06-26 12:29:43.797 | INFO     | __main__:make:137 - 点击下一步
2024-06-26 12:29:44.090 | INFO     | __main__:make:141 - 点击下一步
2024-06-26 12:30:40.755 | INFO     | __main__:make:148 - 进入设备列表
2024-06-26 12:30:40.756 | INFO     | __main__:calculate:207 - 开始计算
2024-06-26 12:30:40.756 | INFO     | __main__:calculate:211 - 成功6次
2024-06-26 12:30:40.757 | INFO     | __main__:calculate:217 - 第6次配网，成功6次，平均耗时33.52，最大耗时44.86，最小耗时25.39
2024-06-26 12:30:40.757 | INFO     | __main__:delete:152 - 开始删除设备
2024-06-26 12:30:44.053 | INFO     | __main__:delete:155 - 长按3秒进入设备详情页
2024-06-26 12:30:47.461 | INFO     | __main__:delete:165 - 点击设置
2024-06-26 12:30:53.907 | INFO     | __main__:delete:168 - 点击移除设备
2024-06-26 12:30:58.575 | INFO     | __main__:delete:175 - 点击解除关联
2024-06-26 12:31:03.018 | INFO     | __main__:delete:181 - 关闭设备页面(删除后google未同步刷新)
2024-06-26 12:31:32.619 | INFO     | __main__:delete:191 - 进入设备列表
2024-06-26 12:31:35.756 | INFO     | __main__:re_factory:14 - 开始恢复出厂
2024-06-26 12:31:46.019 | INFO     | __main__:re_factory:32 - 恢复出厂后等待30秒
2024-06-26 12:32:16.620 | INFO     | __main__:make:68 - 点击设备
2024-06-26 12:32:16.871 | INFO     | __main__:make:72 - 点击添加
2024-06-26 12:32:18.315 | INFO     | __main__:make:76 - 支持 Matter 的设备
2024-06-26 12:32:20.563 | INFO     | __main__:make:82 - 选择手动输入matter配对码
2024-06-26 12:32:22.341 | INFO     | __main__:make:89 - 输入matter配对码
2024-06-26 12:32:22.955 | INFO     | __main__:make:96 - 点击下一步
2024-06-26 12:32:24.310 | INFO     | __main__:make:100 - 点击同意
2024-06-26 12:32:44.993 | INFO     | __main__:make:109 - 点击仍然设置
2024-06-26 12:33:13.734 | INFO     | __main__:make:122 - 联网耗时: 28.74s
2024-06-26 12:33:13.759 | INFO     | __main__:make:125 - 连接成功
2024-06-26 12:33:14.019 | INFO     | __main__:make:127 - 点击完成
2024-06-26 12:33:16.090 | INFO     | __main__:make:130 - 选择房间
2024-06-26 12:33:16.667 | INFO     | __main__:make:137 - 点击下一步
2024-06-26 12:33:16.986 | INFO     | __main__:make:141 - 点击下一步
2024-06-26 12:34:13.129 | INFO     | __main__:make:148 - 进入设备列表
2024-06-26 12:34:13.129 | INFO     | __main__:calculate:207 - 开始计算
2024-06-26 12:34:13.130 | INFO     | __main__:calculate:211 - 成功7次
2024-06-26 12:34:13.130 | INFO     | __main__:calculate:217 - 第7次配网，成功7次，平均耗时32.83，最大耗时44.86，最小耗时25.39
2024-06-26 12:34:13.130 | INFO     | __main__:delete:152 - 开始删除设备
2024-06-26 12:34:16.364 | INFO     | __main__:delete:155 - 长按3秒进入设备详情页
2024-06-26 12:34:20.353 | INFO     | __main__:delete:165 - 点击设置
2024-06-26 12:34:26.011 | INFO     | __main__:delete:168 - 点击移除设备
2024-06-26 12:34:31.738 | INFO     | __main__:delete:175 - 点击解除关联
2024-06-26 12:34:35.977 | INFO     | __main__:delete:181 - 关闭设备页面(删除后google未同步刷新)
2024-06-26 12:35:05.493 | INFO     | __main__:delete:191 - 进入设备列表
2024-06-26 12:35:08.621 | INFO     | __main__:re_factory:14 - 开始恢复出厂
2024-06-26 12:35:18.876 | INFO     | __main__:re_factory:32 - 恢复出厂后等待30秒
2024-06-26 12:35:49.472 | INFO     | __main__:make:68 - 点击设备
2024-06-26 12:35:49.723 | INFO     | __main__:make:72 - 点击添加
2024-06-26 12:35:51.805 | INFO     | __main__:make:76 - 支持 Matter 的设备
2024-06-26 12:35:54.154 | INFO     | __main__:make:82 - 选择手动输入matter配对码
2024-06-26 12:35:55.982 | INFO     | __main__:make:89 - 输入matter配对码
2024-06-26 12:35:56.565 | INFO     | __main__:make:96 - 点击下一步
2024-06-26 12:35:58.011 | INFO     | __main__:make:100 - 点击同意
2024-06-26 12:36:14.696 | INFO     | __main__:make:109 - 点击仍然设置
2024-06-26 12:36:45.256 | INFO     | __main__:make:122 - 联网耗时: 30.56s
2024-06-26 12:36:45.301 | INFO     | __main__:make:125 - 连接成功
2024-06-26 12:36:45.572 | INFO     | __main__:make:127 - 点击完成
